Record,Institution UKPRN code,Institution name,Main panel name,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Research group code,Research group name
374,10007760,Birkbeck College,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,4,Health and Lived Experience
375,10007786,University of Bristol,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Memory and Cognition
376,10007786,University of Bristol,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Motor control and movement disorders
377,10007786,University of Bristol,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Sensory Processing and Perception
378,10007786,University of Bristol,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,Cognitive Health and Wellbeing
379,10000961,Brunel University London,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,1,Centre for Culture & Evolution (CCE)
380,10000961,Brunel University London,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,2,Centre for Cognitive Neuroscience (CCN)
381,10007141,University of Central Lancashire,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Forensic Psychology
382,10007141,University of Central Lancashire,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Molecular Neuroscience and Neurobiology
383,10007141,University of Central Lancashire,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,"Perception, Cognition and Neuroscience"
384,10007141,University of Central Lancashire,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,Quality of Life
385,10007141,University of Central Lancashire,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,E,Education
386,10007141,University of Central Lancashire,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,F,Brain and Behaviour
387,10007848,University of Chester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,1,Experimental and Comparative Psychology
388,10007848,University of Chester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,2,"Family, Infant and Child Psychology"
389,10007848,University of Chester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,3,Centre for Contextual Behavioural Science
390,10007848,University of Chester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,4,Chester Research Unit for the Psychology of Health
391,10007848,University of Chester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,5,Forensic and Investigative Psychology
392,10007143,University of Durham,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Developmental Science
393,10007143,University of Durham,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Cognitive Neuroscience
394,10007143,University of Durham,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Quantitative Social Psychology
395,10007144,University of East London,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,1,Mental Health & Social Change
396,10007144,University of East London,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,2,Cognition & Neuroscience
397,10007144,University of East London,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,3,Developmental
398,10007144,University of East London,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,4,Drugs and Addictive Behaviour
399,10007790,University of Edinburgh,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Neuroscience
400,10007790,University of Edinburgh,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Psychology
401,10007790,University of Edinburgh,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Clinical Psychology
402,10007791,The University of Essex,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Thinking about the world
403,10007791,The University of Essex,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Interacting with the world
404,10007791,The University of Essex,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Experiencing the world
405,10007792,University of Exeter,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Animal Behaviour
406,10007792,University of Exeter,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Cognition
407,10007792,University of Exeter,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Clinical
408,10007792,University of Exeter,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,SEORG
409,10007150,The University of Kent,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Cognitive
410,10007150,The University of Kent,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,Developmental
411,10007150,The University of Kent,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,F,Forensic
412,10007150,The University of Kent,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,S,Social
413,10003678,Kingston University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,1,Clinical and Applied Behavioural Research Group
414,10003678,Kingston University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,2,"Art, Cognition/Creativity and Emotion Group"
415,10003678,Kingston University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,3,Developmental Psychology Group
416,10003678,Kingston University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,4,Social Psychology Group
417,10007796,The University of Leicester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Systems Neuroscience
418,10007796,The University of Leicester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Ageing & Neurodegenerative Disease
419,10007796,The University of Leicester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Neurobiology of Behaviour
420,10007796,The University of Leicester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,Psychological Health & Wellbeing
421,10007796,The University of Leicester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,E,Sensory Processing
422,10007151,University of Lincoln,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,1,"Perception, Action and Cognition (PAC)"
423,10007151,University of Lincoln,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,2,Development and Social Behaviour (DASB)
424,10007151,University of Lincoln,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,3,Forensic and Clinical Research Group (FCRG)
425,10006842,The University of Liverpool,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,"Appetite, Obesity and Addiction"
426,10006842,The University of Liverpool,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Basic and Clinical Neuroscience
427,10006842,The University of Liverpool,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,"Forensic, Investigative and Conflict"
428,10006842,The University of Liverpool,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,Mental Health
429,10006842,The University of Liverpool,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,E,"Perception, Cognition and Language"
430,10004078,London South Bank University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Centre for Addictive Behaviours Research
431,10004078,London South Bank University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Lived Experiences of Distress Research Group
432,10004078,London South Bank University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Brain Mind and Behaviour Research Group
433,10004078,London South Bank University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,Developmental Cognition Research Group
434,10004078,London South Bank University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,E,Forensic Psychology Research Group
435,10007798,The University of Manchester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Neuroscience and Experimental Psychology
436,10007798,The University of Manchester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Psychology and Mental Health
437,10007798,The University of Manchester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,"Human Communication, Development and Hearing"
438,10007798,The University of Manchester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,"Informatics, Imaging and Data Sciences"
439,10007798,The University of Manchester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,E,Musculoskeletal and Dermatological Sciences
440,10004351,Middlesex University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,1,Applied Health Psychology Research Group
441,10004351,Middlesex University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,2,Cognitive Psychology and Neuroscience Research Group
442,10004351,Middlesex University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,3,Community and Clinical Psychology Research Group
443,10004351,Middlesex University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,4,Developmental Psychology Research Group
444,10004351,Middlesex University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,5,Sports Psychology in Action Research Group
445,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Behavioural Science & Psychology
446,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,"Neuroscience, Neurodisability & Neurological disorders"
447,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,"Mental Health, Dementia & Neurodegeneration"
448,10001282,University of Northumbria at Newcastle,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,"Brain, Performance and Nutrition Research Centre"
449,10001282,University of Northumbria at Newcastle,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Cognition and Neuroscience
450,10001282,University of Northumbria at Newcastle,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Evolution and Social Interaction
451,10001282,University of Northumbria at Newcastle,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,Health and Wellbeing
452,10001282,University of Northumbria at Newcastle,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,E,The Northumbria Centre for Sleep Research
453,10001282,University of Northumbria at Newcastle,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,F,Psychology and Communication Technologies Lab
454,10004797,Nottingham Trent University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Centre for Behavioural Research Methods
455,10004797,Nottingham Trent University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,"Centre for Offending, Prevention and Engagement (COPE)"
456,10004797,Nottingham Trent University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Centre for Public and Psychosocial Health
457,10004797,Nottingham Trent University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,"Nottingham Centre for Children, Young People and Families"
458,10004930,Oxford Brookes University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,1,Developmental Psychology
459,10004930,Oxford Brookes University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,2,Cognition and cognitive neuroscience
460,10004930,Oxford Brookes University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,3,Applied Social Psychology
461,10004930,Oxford Brookes University,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,4,Prevention Science
462,10007155,University of Portsmouth,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,International Centre for Research in Forensic Psychology
463,10007155,University of Portsmouth,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Centre for Comparative and Evolutionary Psychology
464,10007155,University of Portsmouth,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,"Centre for Interaction, Development and Diversity"
465,10007155,University of Portsmouth,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,"Quality of Life, Health and Wellbeing Group"
466,10007157,The University of Sheffield,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Interventions for Psychological Health
467,10007157,The University of Sheffield,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Learning and Development Across the Lifespan
468,10007157,The University of Sheffield,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Neuroscience and Cognition
469,10007157,The University of Sheffield,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,Social and Behaviour Change
470,10007803,University of St Andrews,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,"Perception, Cognition and Action (Cogact)"
471,10007803,University of St Andrews,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Cellular and Behavioural Neuroscience (Neuro)
472,10007803,University of St Andrews,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Origins of Mind (Origins)
473,10007803,University of St Andrews,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,Social and Group Processes (Social)
474,10007806,University of Sussex,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Behavioural and Clinical Neuroscience
475,10007806,University of Sussex,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Cognitive Psychology
476,10007806,University of Sussex,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Developmental and Clinical Psychology
477,10007806,University of Sussex,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,Social and Applied Psychology
478,10007807,University of Ulster,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,"Children, young people and schools"
479,10007807,University of Ulster,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Health and ageing
480,10007807,University of Ulster,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,Mental health
481,10007139,University of Worcester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,A,Mood Disorders
482,10007139,University of Worcester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,B,Interpersonal Relationships & Wellbeing - Trauma and Violence Prevention
483,10007139,University of Worcester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,C,"Interpersonal Relationships & Wellbeing - Character Strengths, Prosociality and Wellbeing"
484,10007139,University of Worcester,"Medicine, health and life sciences","Psychology, Psychiatry and Neuroscience",,,,D,Living well across the lifespan
485,10007850,The University of Bath,"Medicine, health and life sciences",Biological Sciences,,,,A,Cell and Developmental Biology
486,10007850,The University of Bath,"Medicine, health and life sciences",Biological Sciences,,,,B,Evolution and Biodiversity
487,10007850,The University of Bath,"Medicine, health and life sciences",Biological Sciences,,,,C,Infection and Immunity
488,10007850,The University of Bath,"Medicine, health and life sciences",Biological Sciences,,,,D,Medical and Industrial Biotechnology
489,10007786,University of Bristol,"Medicine, health and life sciences",Biological Sciences,,,,A,"Ecology, Environmental Change and Evolutionary Biology"
490,10007786,University of Bristol,"Medicine, health and life sciences",Biological Sciences,,,,B,Behavioural Ecology and Sensory Biology
491,10007786,University of Bristol,"Medicine, health and life sciences",Biological Sciences,,,,C,Plant and Agricultural Sciences
492,10007786,University of Bristol,"Medicine, health and life sciences",Biological Sciences,,,,D,Synthetic Biology
493,10007786,University of Bristol,"Medicine, health and life sciences",Biological Sciences,,,,E,Dynamic Cell Biology
494,10007786,University of Bristol,"Medicine, health and life sciences",Biological Sciences,,,,F,Molecular Biosciences
495,10007143,University of Durham,"Medicine, health and life sciences",Biological Sciences,,,,A,Animal Cells and Systems
496,10007143,University of Durham,"Medicine, health and life sciences",Biological Sciences,,,,B,"Ecology, Evolution & Environment"
497,10007143,University of Durham,"Medicine, health and life sciences",Biological Sciences,,,,C,Biomolecular Interactions
498,10007143,University of Durham,"Medicine, health and life sciences",Biological Sciences,,,,D,Molecular Plant Sciences
499,10007790,University of Edinburgh,"Medicine, health and life sciences",Biological Sciences,,,,A,IEB
500,10007790,University of Edinburgh,"Medicine, health and life sciences",Biological Sciences,,,,B,IQB3
501,10007790,University of Edinburgh,"Medicine, health and life sciences",Biological Sciences,,,,C,ICB
502,10007790,University of Edinburgh,"Medicine, health and life sciences",Biological Sciences,,,,D,IIIR
503,10007790,University of Edinburgh,"Medicine, health and life sciences",Biological Sciences,,,,E,IMPS
504,10007790,University of Edinburgh,"Medicine, health and life sciences",Biological Sciences,,,,F,ISCR
505,10007791,The University of Essex,"Medicine, health and life sciences",Biological Sciences,,,,A,Ecology and Environmental Microbiology
506,10007791,The University of Essex,"Medicine, health and life sciences",Biological Sciences,,,,B,Genomics and Computational Biology
507,10007791,The University of Essex,"Medicine, health and life sciences",Biological Sciences,,,,C,Plant Productivity
508,10007791,The University of Essex,"Medicine, health and life sciences",Biological Sciences,,,,D,Protein Structure and Mechanisms of Disease
509,10007792,University of Exeter,"Medicine, health and life sciences",Biological Sciences,,,,A,Plant and Algal Biology
510,10007792,University of Exeter,"Medicine, health and life sciences",Biological Sciences,,,,B,Centre for Medical Mycology
511,10007792,University of Exeter,"Medicine, health and life sciences",Biological Sciences,,,,C,Insect Evolutionary Ecology
512,10007792,University of Exeter,"Medicine, health and life sciences",Biological Sciences,,,,D,Disease Ecology & Evolution
513,10007792,University of Exeter,"Medicine, health and life sciences",Biological Sciences,,,,E,Biochemistry & Molecular Microbiology
514,10007792,University of Exeter,"Medicine, health and life sciences",Biological Sciences,,,,F,Behavioural Ecology
515,10007792,University of Exeter,"Medicine, health and life sciences",Biological Sciences,,,,G,Cell and Developmental Biology
516,10007792,University of Exeter,"Medicine, health and life sciences",Biological Sciences,,,,H,Marine Ecology
517,10007792,University of Exeter,"Medicine, health and life sciences",Biological Sciences,,,,I,Microbial Evolutionary Ecology
518,10007794,University of Glasgow,"Medicine, health and life sciences",Biological Sciences,,,,A,Basic and applied bioscience to study health and disease
519,10007794,University of Glasgow,"Medicine, health and life sciences",Biological Sciences,,,,B,Sustaining agriculture and food
520,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Biological Sciences,,,,A,Evolutionary Biology
521,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Biological Sciences,,,,B,Glycobiology
522,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Biological Sciences,,,,C,Infection and Immunity
523,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Biological Sciences,,,,D,Integrative Systems Biology
524,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Biological Sciences,,,,E,Membrane Biology
525,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Biological Sciences,,,,F,Molecular Mechanisms of Disease
526,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Biological Sciences,,,,G,Molecular Plant and Microbial Systems
527,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Biological Sciences,,,,H,Synthetic Biology
528,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Biological Sciences,,,,I,"Anaesthesia, Sleep and Pain"
529,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Biological Sciences,,,,J,Bacterial Pathogenesis
530,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Biological Sciences,,,,K,Cell and Developmental Biology
531,10003270,"Imperial College of Science, Technology and Medicine","Medicine, health and life sciences",Biological Sciences,,,,L,Ecosystems and the Environment
532,10007150,The University of Kent,"Medicine, health and life sciences",Biological Sciences,,,,A,Applied Molecular Biotechnology
533,10007150,The University of Kent,"Medicine, health and life sciences",Biological Sciences,,,,G,Genomic and Cellular Dynamics
534,10007150,The University of Kent,"Medicine, health and life sciences",Biological Sciences,,,,I,Infectious Disease 
535,10007796,The University of Leicester,"Medicine, health and life sciences",Biological Sciences,,,,A,Structural & Chemical Biology
536,10007796,The University of Leicester,"Medicine, health and life sciences",Biological Sciences,,,,B,Microbiology & Infectious Disease
537,10007796,The University of Leicester,"Medicine, health and life sciences",Biological Sciences,,,,C,Cell Biology & Gene regulation
538,10007796,The University of Leicester,"Medicine, health and life sciences",Biological Sciences,,,,D,Genome Diversity & Dynamics
539,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,A,Molecular and Cellular Function
540,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,B,"Infection, Immunity and Respiratory Medicine"
541,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,C,Neuroscience and Experimental Psychology
542,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,D,Cell Matrix Biology and Regenerative Medicine
543,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,E,Evolution and Genomic Sciences
544,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,F,"Diabetes, Endocrinology and Gastroenterology"
545,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,G,Developmental Biology and Medicine
546,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,H,Medical Education
547,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,I,Cancer Sciences
548,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,J,Cardiovascular Sciences
549,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,K,"Informatics, Imaging and Data Sciences"
550,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,L,Cancer Research UK Manchester Institute
551,10007798,The University of Manchester,"Medicine, health and life sciences",Biological Sciences,,,,M,Chemistry
552,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences",Biological Sciences,,,,A,Bacterial Cell Biology and the Human Microbiota
553,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences",Biological Sciences,,,,B,Eukaryotic Cell Signalling and Cell Biology
554,10007799,University of Newcastle upon Tyne,"Medicine, health and life sciences",Biological Sciences,,,,C,Structural Biology
555,10007138,"University of Northampton, The","Medicine, health and life sciences",Biological Sciences,,,,A,Molecular Bioscience
556,10007138,"University of Northampton, The","Medicine, health and life sciences",Biological Sciences,,,,B,Musculoskeletal Group
557,10007774,University of Oxford,"Medicine, health and life sciences",Biological Sciences,,,,A,"Structural Biology, Biophysics and Computational Biochemistry"
558,10007774,University of Oxford,"Medicine, health and life sciences",Biological Sciences,,,,B,Cell and Developmental Biology
559,10007774,University of Oxford,"Medicine, health and life sciences",Biological Sciences,,,,C,"Genes, Genetics and Genomics"
560,10007774,University of Oxford,"Medicine, health and life sciences",Biological Sciences,,,,D,Physiology and Metabolism
561,10007774,University of Oxford,"Medicine, health and life sciences",Biological Sciences,,,,E,Neuroscience and Behaviour
562,10007774,University of Oxford,"Medicine, health and life sciences",Biological Sciences,,,,F,"Infection, Immunity and Epidemiology"
563,10007774,University of Oxford,"Medicine, health and life sciences",Biological Sciences,,,,G,Pharmacology and Drug Discovery
564,10007774,University of Oxford,"Medicine, health and life sciences",Biological Sciences,,,,H,Evolutionary Biology
565,10007774,University of Oxford,"Medicine, health and life sciences",Biological Sciences,,,,I,"Ecology, Biodiversity and Conservation"
566,10004930,Oxford Brookes University,"Medicine, health and life sciences",Biological Sciences,,,,1,Biomedicine
567,10004930,Oxford Brookes University,"Medicine, health and life sciences",Biological Sciences,,,,2,Cell and Developmental Biology
568,10004930,Oxford Brookes University,"Medicine, health and life sciences",Biological Sciences,,,,3,Ecology and Evolution
569,10004930,Oxford Brookes University,"Medicine, health and life sciences",Biological Sciences,,,,4,Genetics and Genomics
570,10007775,Queen Mary University of London,"Medicine, health and life sciences",Biological Sciences,,,,A,Biological and Experimental Psychology
571,10007775,Queen Mary University of London,"Medicine, health and life sciences",Biological Sciences,,,,B,Cell Dynamics and Structural Biology
572,10007775,Queen Mary University of London,"Medicine, health and life sciences",Biological Sciences,,,,C,Ecology and Evolution
573,10007157,The University of Sheffield,"Medicine, health and life sciences",Biological Sciences,,,,A,Biochemistry and Structural Biology
574,10007157,The University of Sheffield,"Medicine, health and life sciences",Biological Sciences,,,,B,Cell and Microbiology
575,10007157,The University of Sheffield,"Medicine, health and life sciences",Biological Sciences,,,,C,Development and Neurobiology
576,10007157,The University of Sheffield,"Medicine, health and life sciences",Biological Sciences,,,,D,Ecology and Biodiversity
577,10007157,The University of Sheffield,"Medicine, health and life sciences",Biological Sciences,,,,E,Evolution and Genetics
578,10007157,The University of Sheffield,"Medicine, health and life sciences",Biological Sciences,,,,F,Plant and Global Change Biology
579,10007803,University of St Andrews,"Medicine, health and life sciences",Biological Sciences,,,,A,Biomedical Sciences Research Complex (BSRC)
580,10007803,University of St Andrews,"Medicine, health and life sciences",Biological Sciences,,,,B,Centre for Biological Diversity (CBD)
581,10007803,University of St Andrews,"Medicine, health and life sciences",Biological Sciences,,,,C,Scottish Oceans Institute (SOI)
582,10007806,University of Sussex,"Medicine, health and life sciences",Biological Sciences,,,,1,EBE
583,10007806,University of Sussex,"Medicine, health and life sciences",Biological Sciences,,,,A,Biochemistry
584,10007806,University of Sussex,"Medicine, health and life sciences",Biological Sciences,,,,B,Genome
585,10007806,University of Sussex,"Medicine, health and life sciences",Biological Sciences,,,,C,Neuroscience
586,10007139,University of Worcester,"Medicine, health and life sciences",Biological Sciences,,,,A,Biomedical
587,10007139,University of Worcester,"Medicine, health and life sciences",Biological Sciences,,,,B,Pollen and Aerobiology
588,10007139,University of Worcester,"Medicine, health and life sciences",Biological Sciences,,,,C,Sustainable Environments - Food Security
589,10007139,University of Worcester,"Medicine, health and life sciences",Biological Sciences,,,,D,Sustainable Environments - Conservation and management of habitats and species
590,10007786,University of Bristol,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,A,Population health
591,10007786,University of Bristol,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,B,Global food security
592,10007790,University of Edinburgh,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,(joint submission with SRUC),A,University of Edinburgh
593,10007790,University of Edinburgh,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,(joint submission with SRUC),B,SRUC
594,10007146,University of Greenwich,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,1,Pest Behaviour
595,10007146,University of Greenwich,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,2,Chemical Ecology & Plant Biochemistry
596,10007146,University of Greenwich,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,3,Ecosystem Services
597,10007146,University of Greenwich,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,4,"Plant Health, Molecular Virology & Entomology"
598,10007146,University of Greenwich,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,5,Food Systems
599,10007146,University of Greenwich,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,6,Aquatic Biotechnology & Biology
600,10007795,The University of Leeds,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,A,Food Colloids and Bioprocessing
601,10007795,The University of Leeds,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,B,Nutritional Sciences and Epidemiology
602,10007795,The University of Leeds,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,C,Sustainable Food Systems
603,10007151,University of Lincoln,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,1,Animal Behaviour Cognition & Welfare
604,10007151,University of Lincoln,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,2,Ecology & Evolution
605,10007151,University of Lincoln,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,3,Lincoln Institute for Agri-Food Technology (LIAT)
606,10007151,University of Lincoln,"Medicine, health and life sciences","Agriculture, Food and Veterinary Sciences",,,,4,National Centre for Food Manufacturing (NCFM)
